group_type,context,layer,previous_rank_bucket,new_entry_count,fraction
context_layer,32768.0,2.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,2.0,rank_2049_2304,68757,0.1442544326185336
context_layer,32768.0,2.0,rank_2305_4096,263928,0.5537295677842887
context_layer,32768.0,2.0,rank_4097_8192,125005,0.2622645745084834
context_layer,32768.0,2.0,rank_8193_16384,17587,0.03689810065101954
context_layer,32768.0,2.0,rank_16385_plus,598,0.0012546235395070042
context_layer,32768.0,2.0,new_token_no_previous_rank,762,0.001598700898167788
context_layer,32768.0,5.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,5.0,rank_2049_2304,67470,0.13406402565636133
context_layer,32768.0,5.0,rank_2305_4096,265147,0.5268515519594966
context_layer,32768.0,5.0,rank_4097_8192,136749,0.2717225647618461
context_layer,32768.0,5.0,rank_8193_16384,25475,0.050619253795698906
context_layer,32768.0,5.0,rank_16385_plus,7664,0.015228497000598092
context_layer,32768.0,5.0,new_token_no_previous_rank,762,0.001514106825998923
context_layer,32768.0,8.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,8.0,rank_2049_2304,66121,0.11703101133300413
context_layer,32768.0,8.0,rank_2305_4096,277486,0.49113696421333586
context_layer,32768.0,8.0,rank_4097_8192,169968,0.30083524045686005
context_layer,32768.0,8.0,rank_8193_16384,43654,0.07726549460430063
context_layer,32768.0,8.0,rank_16385_plus,7005,0.012398515364070323
context_layer,32768.0,8.0,new_token_no_previous_rank,753,0.0013327740284289726
context_layer,32768.0,11.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,11.0,rank_2049_2304,69864,0.1492256133898077
context_layer,32768.0,11.0,rank_2305_4096,262695,0.5611018909514991
context_layer,32768.0,11.0,rank_4097_8192,116936,0.2497687840282628
context_layer,32768.0,11.0,rank_8193_16384,16850,0.03599066165146942
context_layer,32768.0,11.0,rank_16385_plus,1070,0.0022854604134760997
context_layer,32768.0,11.0,new_token_no_previous_rank,762,0.0016275895654848486
context_layer,32768.0,14.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,14.0,rank_2049_2304,64724,0.11619502754793735
context_layer,32768.0,14.0,rank_2305_4096,273364,0.4907536232404417
context_layer,32768.0,14.0,rank_4097_8192,173148,0.3108419848876809
context_layer,32768.0,14.0,rank_8193_16384,42196,0.07575189083512708
context_layer,32768.0,14.0,rank_16385_plus,2850,0.005116430203813446
context_layer,32768.0,14.0,new_token_no_previous_rank,747,0.0013410432849995243
context_layer,32768.0,17.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,17.0,rank_2049_2304,63715,0.10745606638108408
context_layer,32768.0,17.0,rank_2305_4096,275511,0.46465241002462304
context_layer,32768.0,17.0,rank_4097_8192,191440,0.32286571997166663
context_layer,32768.0,17.0,rank_8193_16384,56115,0.09463858063210442
context_layer,32768.0,17.0,rank_16385_plus,5414,0.009130772084865247
context_layer,32768.0,17.0,new_token_no_previous_rank,745,0.0012564509056565587
context_layer,32768.0,21.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,21.0,rank_2049_2304,64189,0.11724874876703321
context_layer,32768.0,21.0,rank_2305_4096,268609,0.4906458919373105
context_layer,32768.0,21.0,rank_4097_8192,167943,0.30676761772549593
context_layer,32768.0,21.0,rank_8193_16384,42443,0.07752712526942608
context_layer,32768.0,21.0,rank_16385_plus,3606,0.006586782595988748
context_layer,32768.0,21.0,new_token_no_previous_rank,670,0.0012238337047455522
context_layer,32768.0,25.0,rank_le_2048_audit,0,0.0
context_layer,32768.0,25.0,rank_2049_2304,63003,0.10911537622229381
context_layer,32768.0,25.0,rank_2305_4096,272127,0.4712988268057735
context_layer,32768.0,25.0,rank_4097_8192,186502,0.32300423624605556
context_layer,32768.0,25.0,rank_8193_16384,51073,0.08845371823248435
context_layer,32768.0,25.0,rank_16385_plus,3937,0.006818520327399818
context_layer,32768.0,25.0,new_token_no_previous_rank,756,0.0013093221659929545
