context,block_size,promotion_target,topk,fused_compact_plus_topk,fused_dense_plus_topk,candidate_fraction,qk_reduction,compact_speedup_vs_dense
16384,32,0.1,512,0.0675840005278587,0.0634559988975524,0.732421875,0.234130859375,0.9389204308998442
16384,32,0.1,1024,0.0716480016708374,0.0645119994878768,0.732421875,0.234130859375,0.9004019370178031
16384,32,0.1,2048,0.0716800019145011,0.0645119994878768,0.732421875,0.234130859375,0.899999968817325
16384,32,0.15,512,0.0685600005090236,0.0696320012211799,0.748046875,0.220458984375,1.0156359495944756
16384,32,0.15,1024,0.0737280026078224,0.0655359998345375,0.748046875,0.220458984375,0.8888888552039013
16384,32,0.15,2048,0.0757760033011436,0.0706560015678405,0.748046875,0.220458984375,0.9324324125019428
16384,32,0.2,512,0.0737280026078224,0.0675840005278587,0.76171875,0.20849609375,0.9166666414029256
16384,32,0.2,1024,0.0670560002326965,0.0706560015678405,0.76171875,0.20849609375,1.0536864907338843
16384,32,0.2,2048,0.0686080008745193,0.0686080008745193,0.76171875,0.20849609375,1.0
16384,64,0.05,512,0.0698400028049945,0.0624639987945556,0.71875,0.24609375,0.8943871174943393
16384,64,0.05,1024,0.0716800019145011,0.0665600001811981,0.71875,0.24609375,0.9285714062980904
16384,64,0.05,2048,0.0707680024206638,0.0665600001811981,0.71875,0.24609375,0.9405380667034768
16384,64,0.1,512,0.0697600021958351,0.0624639987945556,0.734375,0.232421875,0.8954127985719145
16384,64,0.1,1024,0.0675840005278587,0.0675840005278587,0.734375,0.232421875,1.0
16384,64,0.1,2048,0.0681120008230209,0.0706560015678405,0.734375,0.232421875,1.0373502571364748
16384,64,0.15,512,0.0696320012211799,0.0686080008745193,0.74609375,0.22216796875,0.9852941129264984
16384,64,0.15,1024,0.0675840005278587,0.0665600001811981,0.74609375,0.22216796875,0.984848479837495
16384,64,0.15,2048,0.0708160027861595,0.074752002954483,0.74609375,0.22216796875,1.0555806599280801
16384,64,0.2,512,0.0706560015678405,0.0645119994878768,0.76171875,0.20849609375,0.9130434507525234
16384,64,0.2,1024,0.0696320012211799,0.0655359998345375,0.76171875,0.20849609375,0.9411764517059934
16384,64,0.2,2048,0.0696320012211799,0.0645119994878768,0.76171875,0.20849609375,0.9264705646324902
16384,128,0.05,512,0.0675840005278587,0.061439998447895,0.71875,0.24609375,0.9090908790249684
