context,layer,method,scope,block_size,promotion_target,topk,warmup,measurements,kernel_launches,median_ms,p5_ms,p95_ms,mean_ms,std_ms
8192,17,two_pass_kernel,kernel,64,0.1,1024,50,500,4,0.0604160018265247,0.0593920014798641,0.0634879991412162,0.061121472261846,0.0023532025213425
8192,17,two_pass_plus_topk,indexer_topk,64,0.1,1024,50,500,5,0.0900640003383159,0.0829439982771873,0.0931968018412589,0.0888395521044731,0.0039399423655094
8192,17,two_pass_kernel,kernel,64,0.1,2048,50,500,4,0.0604160018265247,0.0584000013768672,0.0664383992552757,0.061173504576087,0.0089757041109893
8192,17,two_pass_plus_topk,indexer_topk,64,0.1,2048,50,500,5,0.089088000357151,0.0819503981620073,0.0942080020904541,0.0884819199591875,0.0044083187713954
8192,17,two_pass_kernel,kernel,64,0.15,512,50,500,4,0.0604160018265247,0.0593920014798641,0.0634879991412162,0.061008384257555,0.0023703506048211
8192,17,two_pass_plus_topk,indexer_topk,64,0.15,512,50,500,5,0.0870399996638298,0.0849919989705085,0.0952320024371147,0.0888565121442079,0.0039741225099332
8192,17,two_pass_kernel,kernel,64,0.15,1024,50,500,4,0.0612160004675388,0.0593920014798641,0.064521599560976,0.0615018880218267,0.0031788787076969
8192,17,two_pass_plus_topk,indexer_topk,64,0.15,1024,50,500,5,0.0901120007038116,0.0829439982771873,0.0952320024371147,0.0902311681061983,0.0244723466788733
8192,17,two_pass_kernel,kernel,64,0.15,2048,50,500,4,0.0604160018265247,0.058432001620531,0.0634879991412162,0.0605761285647749,0.0025527920315384
8192,17,two_pass_plus_topk,indexer_topk,64,0.15,2048,50,500,5,0.0899199992418289,0.0821407996118068,0.0931840017437934,0.0885880960673093,0.0042110798070066
8192,17,two_pass_kernel,kernel,64,0.2,512,50,500,4,0.0604160018265247,0.0593904014676809,0.0634879991412162,0.0611573763489723,0.0032236581543896
8192,17,two_pass_plus_topk,indexer_topk,64,0.2,512,50,500,5,0.0860159993171691,0.0839679986238479,0.0940560009330511,0.0881658878475427,0.0050297686197846
8192,17,two_pass_kernel,kernel,64,0.2,1024,50,500,4,0.0605439990758895,0.0593920014798641,0.0645551994442939,0.0614162560477852,0.0028426754645115
8192,17,two_pass_plus_topk,indexer_topk,64,0.2,1024,50,500,5,0.0880640000104904,0.0819199979305267,0.0921600013971328,0.0875477756261825,0.0045667061174085
8192,17,two_pass_kernel,kernel,64,0.2,2048,50,500,4,0.0604000017046928,0.0583680011332035,0.0706576015800237,0.0615882885232567,0.009383732861166
8192,17,two_pass_plus_topk,indexer_topk,64,0.2,2048,50,500,5,0.0901120007038116,0.0829439982771873,0.0950128007680177,0.0889659519940614,0.0046722372833175
8192,17,two_pass_kernel,kernel,128,0.05,512,50,500,4,0.0626560002565383,0.061439998447895,0.0665600001811981,0.0635384953171014,0.0036829398787515
8192,17,two_pass_plus_topk,indexer_topk,128,0.05,512,50,500,5,0.089088000357151,0.0860159993171691,0.0942080020904541,0.0895965441912412,0.0042691906451241
8192,17,two_pass_kernel,kernel,128,0.05,1024,50,500,4,0.0624319985508918,0.0604160018265247,0.0645119994878768,0.0624303354099392,0.0021722061223658
8192,17,two_pass_plus_topk,indexer_topk,128,0.05,1024,50,500,5,0.089088000357151,0.0860159993171691,0.0972800031304359,0.0910298887044191,0.0047764689651673
8192,17,two_pass_kernel,kernel,128,0.05,2048,50,500,4,0.0623360015451908,0.0604160018265247,0.0655359998345375,0.0624082554131746,0.0023595760082259
8192,17,two_pass_plus_topk,indexer_topk,128,0.05,2048,50,500,5,0.0901120007038116,0.0860159993171691,0.0942080020904541,0.0904514565616846,0.0042576685551899
8192,17,two_pass_kernel,kernel,128,0.1,512,50,500,4,0.0615359991788864,0.0604160018265247,0.0655807998031377,0.0623612794280052,0.0027766903678859
8192,17,two_pass_plus_topk,indexer_topk,128,0.1,512,50,500,5,0.0901120007038116,0.0870399996638298,0.0942080020904541,0.0906645766496658,0.0045236791891011
8192,17,two_pass_kernel,kernel,128,0.1,1024,50,500,4,0.061439998447895,0.0604160018265247,0.0655359998345375,0.0622483195215463,0.0027469886690871
8192,17,two_pass_plus_topk,indexer_topk,128,0.1,1024,50,500,5,0.089088000357151,0.0849919989705085,0.0960736013948917,0.0902951684892177,0.0045842631598812
8192,17,two_pass_kernel,kernel,128,0.1,2048,50,500,4,0.0624639987945556,0.0604160018265247,0.0706560015678405,0.0632322554290294,0.003857525099434
8192,17,two_pass_plus_topk,indexer_topk,128,0.1,2048,50,500,5,0.0899359993636608,0.0860159993171691,0.09421600215137,0.0902953604608774,0.0088430912327618
8192,17,two_pass_kernel,kernel,128,0.15,512,50,500,4,0.061439998447895,0.0593920014798641,0.0643295980989932,0.0615836159214377,0.0025134995803969
8192,17,two_pass_plus_topk,indexer_topk,128,0.15,512,50,500,5,0.0901120007038116,0.0870399996638298,0.0942080020904541,0.0902584965378046,0.0031802044695498
8192,17,two_pass_kernel,kernel,128,0.15,1024,50,500,4,0.0624639987945556,0.0604160018265247,0.0645151995122432,0.062582079321146,0.0023337226191731
8192,17,two_pass_plus_topk,indexer_topk,128,0.15,1024,50,500,5,0.0880640000104904,0.0849919989705085,0.0952320024371147,0.0896312964409589,0.0038343794870717
8192,17,two_pass_kernel,kernel,128,0.15,2048,50,500,4,0.0605119988322258,0.0593920014798641,0.063527999445796,0.0612613121867179,0.0022760792439017
8192,17,two_pass_plus_topk,indexer_topk,128,0.15,2048,50,500,5,0.089088000357151,0.0860159993171691,0.0952320024371147,0.0895765761882066,0.0044409643311287
