policy,policy_role,rescue,rescue_blocks,missed_blocks,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,top128_recall,top512_recall,top2048_recall
streak2_bucket8_m0,Aggressive,best4,4,15,5,2,code_heldout_3,long-code,16384,16390,0.9999978542327881,0.0020471091847866774,0.00048828125,1.0,1.0,0.98974609375
streak2_bucket8_m0,Aggressive,best8,8,15,5,2,code_heldout_3,long-code,16384,16390,0.9999985694885254,0.0017482389230281115,0.00048828125,1.0,1.0,0.99609375
streak2_bucket8_m0,Aggressive,all,15,15,5,2,code_heldout_3,long-code,16384,16390,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,30,6,2,code_heldout_3,long-code,16384,16391,0.9999956488609314,0.0029532350599765778,0.0009765625,1.0,1.0,0.9677734375
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,30,6,2,code_heldout_3,long-code,16384,16391,0.9999955892562866,0.002971240784972906,0.00048828125,1.0,1.0,0.96875
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,30,6,2,code_heldout_3,long-code,16384,16391,0.9999960660934448,0.002815587678924203,0.00048828125,1.0,1.0,0.97021484375
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,30,6,2,code_heldout_3,long-code,16384,16391,0.9999958872795105,0.0029045685660094023,0.00048828125,1.0,1.0,0.97509765625
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,30,6,2,code_heldout_3,long-code,16384,16391,0.9999958276748657,0.0028997519984841347,0.0009765625,1.0,1.0,0.97900390625
streak2_bucket8_m-0.75_refresh8,Balanced,all,30,30,6,2,code_heldout_3,long-code,16384,16391,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,25,6,2,code_heldout_3,long-code,16384,16391,0.9999958276748657,0.0029154119547456503,0.0009765625,1.0,1.0,0.97265625
streak2_bucket8_m0,Aggressive,best1,1,25,6,2,code_heldout_3,long-code,16384,16391,0.9999966025352478,0.0026240935549139977,0.00048828125,1.0,1.0,0.97412109375
streak2_bucket8_m0,Aggressive,best2,2,25,6,2,code_heldout_3,long-code,16384,16391,0.9999967217445374,0.0025937219616025686,0.00048828125,1.0,1.0,0.974609375
streak2_bucket8_m0,Aggressive,best4,4,25,6,2,code_heldout_3,long-code,16384,16391,0.999996542930603,0.0026337963063269854,0.0009765625,1.0,1.0,0.97607421875
streak2_bucket8_m0,Aggressive,best8,8,25,6,2,code_heldout_3,long-code,16384,16391,0.9999966025352478,0.0026203265879303217,0.0009765625,1.0,1.0,0.97900390625
streak2_bucket8_m0,Aggressive,all,25,25,6,2,code_heldout_3,long-code,16384,16391,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,14,7,2,code_heldout_3,long-code,16384,16392,0.9999966025352478,0.002587280934676528,0.00048828125,1.0,1.0,0.99072265625
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,14,7,2,code_heldout_3,long-code,16384,16392,0.9999966621398926,0.0025720426347106695,0.00048828125,1.0,1.0,0.99169921875
