split,scope,method,base_context_length,layer,workload,observations,qk_reduction,top2048_recall,top128_recall,top512_recall,weighted_recall,teacher_attention_mass_ratio
test,hybrid_temporal_hot_full_cold_h8,raw_h8,16384,14,long-text,254,0.07209181253067745,0.8829220749261811,1.0,0.9984697957677166,0.9447901274069318,0.9916662706761992
test,hybrid_temporal_hot_full_cold_h8,raw_h8,16384,17,long-code,254,0.09713828733191883,0.5228011964812992,0.9771776574803149,0.8650652066929134,0.8008978128292011,0.9541458134590395
test,hybrid_temporal_hot_full_cold_h8,raw_h8,16384,17,long-text,254,0.05023555856045607,0.6989207830954725,0.9993848425196851,0.9908341535433071,0.8594690885982891,0.9706243199208124
test,hybrid_temporal_hot_full_cold_h8,raw_h8,16384,21,long-code,254,0.060765039901602015,0.6557982437253937,0.9973855807086615,0.9673351377952756,0.8744490471220887,0.9578072031114581
test,hybrid_temporal_hot_full_cold_h8,raw_h8,16384,21,long-text,254,0.06056117259077539,0.7538658802903543,1.0,0.9886964812992126,0.8729496168280099,0.9832297630705158
test,hybrid_temporal_hot_full_cold_h8,raw_h8,16384,25,long-code,254,0.16336943988494448,0.7269046813484252,1.0,1.0,0.8755410091456074,0.9827051593722781
test,hybrid_temporal_hot_full_cold_h8,raw_h8,16384,25,long-text,254,0.12575205927516345,0.6857468011811023,1.0,0.9946096825787402,0.8399235984550627,0.9804983997864021
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,2,long-code,254,0.4504990848314095,0.9679387610728346,0.999753937007874,0.9972625492125984,0.9899999749378477,0.9980088077583604
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,2,long-text,254,0.4451479245792129,0.9679829755167323,0.999753937007874,0.9964090182086615,0.9881485351487757,0.9951365240137753
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,5,long-code,254,0.33215732059819497,0.8473755843996063,1.0,0.9979084645669292,0.9352199729970837,0.9901436116967687
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,5,long-text,254,0.23651881467698127,0.8241937592273622,1.0,0.9986927903543307,0.9030980515440928,0.99334521618759
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,8,long-code,254,0.3419075074752416,0.8989738404281497,1.0,0.9999692421259843,0.9526401145532225,0.9938463552171046
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,8,long-text,254,0.2971295291760668,0.8982740987942913,1.0,0.9999384842519685,0.9399762188735077,0.9949338389676691
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,11,long-code,254,0.2703778036462792,0.8977954293799213,1.0,0.9999846210629921,0.9512585674611136,0.9936553356152266
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,11,long-text,254,0.2240704042861586,0.8962056317667323,1.0,0.9999615526574803,0.9494956845850471,0.9979202640710629
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,14,long-code,254,0.16236778363362855,0.7875322957677166,1.0,0.9967473548228346,0.8828955766112397,0.9838513538687969
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,14,long-text,254,0.14150092803668063,0.804935485359252,0.9964013287401575,0.9825910433070866,0.8800301761935045,0.9770674845515964
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,17,long-code,254,0.14918576187795288,0.46380182701771655,0.9718257874015748,0.852908156988189,0.7214968178653622,0.943537484368943
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,17,long-text,254,0.1319715771932483,0.5394642747293307,0.9820066437007874,0.915531188484252,0.7099510073575811,0.967101593767015
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,21,long-code,254,0.11855583401236823,0.4588382750984252,0.957277312992126,0.8085783710629921,0.6693301569437667,0.9169088547233004
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,21,long-text,254,0.11114889125782121,0.6158668337844488,0.992433562992126,0.9397530142716536,0.7543213000553307,0.9701853285286226
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,25,long-code,254,0.16631584271353336,0.5370267132135826,1.0,0.9558547613188977,0.7022216512014194,0.9733263486351261
test,hybrid_temporal_hot_full_cold_h8,raw_h8,32768,25,long-text,254,0.14361382508053852,0.5238277405265748,0.999507874015748,0.9567621186023622,0.6946408821860787,0.9751566508855255
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,2,long-code,254,0.06656007066412209,0.9976547121062992,1.0,0.9999692421259843,0.9998320572535695,0.9999950009689403
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,2,long-text,254,0.04206760129595725,0.9977738988681102,1.0,0.9999231053149606,0.9999005021275619,0.9999782955534038
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,5,long-code,254,0.11577732328508976,0.9955093503937008,1.0,0.9999692421259843,0.9996927474009086,0.9999825100483448
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,5,long-text,254,0.05194671215237037,0.9964763010580708,0.9999692421259843,0.9998923474409449,0.9996652568570922,0.9998436719612627
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,8,long-code,254,0.05688100044044475,0.9923470564714567,1.0,0.9999923105314961,0.9995859101627189,0.9998717235205671
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,8,long-text,254,0.02904256646106303,0.9977892778051181,1.0,0.9999923105314961,0.9998320863859196,0.9999824237268081
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,11,long-code,254,0.04614164723588523,0.9973740465059056,1.0,1.0,0.999659609311847,0.9999733037069602
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,11,long-text,254,0.04033435019494541,0.9966358575295275,1.0,0.9999923105314961,0.9995250956400925,0.9998555764018943
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,14,long-code,254,0.050074613597432,0.9953151913139764,1.0,0.9999461737204725,0.9993261593534605,0.9999414937805599
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,14,long-text,254,0.029383808513246793,0.9983986681840551,1.0,0.9999846210629921,0.9997137571272141,1.000031026708151
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,17,long-code,254,0.01817480665727613,0.9970145638533464,1.0,0.9999000369094488,0.999523934112512,0.9999539601216904
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,17,long-text,254,0.013617055038796108,0.9987177811269685,1.0,0.9999461737204725,0.9997849826159795,1.0000035094766815
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,21,long-code,254,0.01858287569693675,0.996337890625,1.0,0.9999923105314961,0.9996317428096105,0.9997826207790746
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,21,long-text,254,0.015010081486693343,0.9991503137303149,1.0,1.0,0.9998365406549425,0.9999657878161302
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,25,long-code,254,0.07731114573510234,0.99561508058563,1.0,1.0,0.9994544941945802,0.9998645857982195
test,hybrid_temporal_hot_full_cold_h8,t1_layer,8192,25,long-text,254,0.017001441599987295,0.9981487604576772,1.0,1.0,0.9997579443033835,0.999959853695481
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,2,long-code,254,0.23667817312579514,0.9875084584153543,1.0,0.9998000738188977,0.9978197389360532,0.9996580752829163
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,2,long-text,254,0.2214905620336423,0.9902920460137795,1.0,0.9996385949803149,0.9980295077640972,0.9994815852120326
