split,scope,method,observations,qk_reduction,temporal_exact_fraction,top2048_recall,top2048_precision,exact_top2048_match_rate,top128_recall,top512_recall,top1024_recall,weighted_recall,worst_false_negative_score,worst_false_negative_threshold_gap,teacher_attention_mass_ratio
test,reference,existing_h8_10pct_h56_rescue,12192,0.15221402081351004,,0.994934722820292,0.994934722820292,0.2635334645669291,0.9999794947506562,0.9996227354515256,0.9985964317021407,0.9982664681515295,3.48828125,3.6875,0.9995225485762054
test,reference,full64_oracle,12192,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0
validation,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,6096,0.2516530149479701,0.712396554345177,0.981439865793143,0.981439865793143,0.1369750656167979,0.9995642634514436,0.9977319271858596,0.9942537242659121,0.9916131959168766,4.48046875,3.333984375,0.9982565242128002
validation,hybrid_temporal_hot_full_cold_h8,raw_h8,6096,0.1382929402718673,0.8419509254035802,0.8387416729463992,0.8387416729463992,0.13188976377952755,0.9986966350885826,0.9894929820784121,0.9654590676775755,0.9363682525801447,4.48046875,3.3095703125,0.9857339393272239
validation,hybrid_temporal_hot_full_cold_h8,t1_layer,6096,0.2400824813475292,0.7256200213171095,0.9876161910730397,0.9876161910730397,0.130249343832021,0.9998462106299213,0.9989702520095144,0.9968602938914862,0.9945620236387407,4.02734375,2.609375,0.9989110322324581
validation,pure_no_h56,global_affine_h8,6096,0.875,0.0,0.7691478979556267,0.7691478979556267,0.0,0.9965743417814961,0.9785630433891076,0.9308646294701444,0.9180438969201472,7.51953125,6.54541015625,0.9746621988299167
validation,pure_no_h56,layer_affine_h8,6096,0.875,0.0,0.7691478178569964,0.7691478178569964,0.0,0.9965743417814961,0.9785630433891076,0.9308646294701444,0.9180438627190914,7.51953125,6.54541015625,0.9746623221630536
validation,pure_no_h56,mass_affine_h8,6096,0.875,0.0,0.7691478178569964,0.7691478178569964,0.0,0.9965743417814961,0.9785630433891076,0.9308646294701444,0.9180438627190914,7.51953125,6.54541015625,0.9746622933105203
validation,pure_no_h56,mass_normalized_h8,6096,0.875,0.0,0.7691478178569964,0.7691478178569964,0.0,0.9965743417814961,0.9785630433891076,0.9308646294701444,0.9180438627190914,7.51953125,6.54541015625,0.9746623221630536
validation,pure_no_h56,prev_full,6096,1.0,0.0,0.7433142474317175,0.7433142474317175,0.0,0.9840751107283464,0.959229476808563,0.90216384847646,0.8807139140351615,11.09375,15.0,0.9419325378943183
validation,pure_no_h56,raw_h8,6096,0.875,0.0,0.7691478178569964,0.7691478178569964,0.0,0.9965743417814961,0.9785630433891076,0.9308646294701444,0.9180438627190914,7.51953125,6.54541015625,0.9746623221630536
validation,pure_no_h56,t1_global,6096,0.875,0.0,0.8297953768352199,0.8297953768352199,0.0,0.9995988660597113,0.9955503608923885,0.9730389612553314,0.9435717977017561,7.2109375,5.90087890625,0.9879027296736583
validation,pure_no_h56,t1_layer,6096,0.875,0.0,0.8283851603510499,0.8283851603510499,0.0,0.9997283054461942,0.9958435218791011,0.9730666753813977,0.943357833051992,7.80078125,7.459228515625,0.9872712432794636
validation,pure_no_h56,t2_residual_layer,6096,0.875,0.0,0.8283851603510499,0.8283851603510499,0.0,0.9997283054461942,0.9958435218791011,0.9730666753813977,0.943357833051992,7.80078125,7.459228515625,0.9872712432794636
validation,pure_no_h56,t3_delta_layer,6096,0.875,0.0,0.8204698938084399,0.8204698938084399,0.0,0.9988670849737533,0.9925316037155512,0.9653076812664042,0.937136471912286,8.2890625,8.72314453125,0.9902180614172058
validation,pure_no_h56,t4_margin_layer,6096,0.875,0.0,0.82540733357427,0.82540733357427,0.0,0.9997295870242782,0.9949371257791995,0.9705834576464075,0.9410115108448573,7.2109375,5.90087890625,0.9897063161083137
validation,reference,existing_h8_10pct_h56_rescue,6096,0.17231015405457392,,0.993891037668143,0.993891037668143,0.21981627296587927,0.9999628342355643,0.9995248549253609,0.9982477623646654,0.9979765821825703,3.08984375,4.09765625,0.9992590654551121
validation,reference,full64_oracle,6096,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0
