context,dtype,block_size,promotion_policy,threshold,ctas_per_sm,producer_warps,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements,timing_scope,head_scheme,prep_included
16384,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,QW_pack,cold_rotating,35.840000957250595,36.26060909032822,35.840000957250595,36.86400130391121,0.5624917874180563,1000,prep_only,dynamic_abs_w,True
16384,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,K6_fused_online_pipeline,cold_rotating,58.36800113320351,57.963872987776995,56.32000043988228,59.39200147986412,1.1443587235102106,1000,prep_plus_main,dynamic_abs_w,True
16384,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,QW_pack,cold_rotating,26.623999699950218,26.13635155186057,25.599999353289604,26.623999699950218,0.5803410230528606,1000,prep_only,fixed_avg_abs_w,True
16384,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,K6_fused_online_pipeline,cold_rotating,48.128001391887665,47.676609091460705,46.08000069856644,49.15200173854828,1.1754933118474766,1000,prep_plus_main,fixed_avg_abs_w,True
16384,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,QW_pack,cold_rotating,26.623999699950218,26.18054356612265,25.599999353289604,26.623999699950218,0.5854513583234102,1000,prep_only,fixed_transition_aware,True
16384,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,K6_fused_online_pipeline,cold_rotating,48.128001391887665,47.63334512338042,46.08000069856644,49.15200173854828,1.161511234491317,1000,prep_plus_main,fixed_transition_aware,True
32768,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,QW_pack,cold_rotating,35.840000957250595,36.325889114290476,35.840000957250595,36.86400130391121,0.5693953307063045,1000,prep_only,dynamic_abs_w,True
32768,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,K6_fused_online_pipeline,cold_rotating,65.5359998345375,65.91827196627855,63.48799914121628,67.58400052785873,1.328894254779822,1000,prep_plus_main,dynamic_abs_w,True
32768,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,QW_pack,cold_rotating,26.623999699950218,26.35132760927081,25.599999353289604,27.648000046610832,0.5854983697962707,1000,prep_only,fixed_avg_abs_w,True
32768,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,K6_fused_online_pipeline,cold_rotating,55.296000093221664,55.72598424181342,53.247999399900436,57.45600126683708,1.3386419672209182,1000,prep_plus_main,fixed_avg_abs_w,True
32768,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,QW_pack,cold_rotating,26.623999699950218,26.36239961348474,25.599999353289604,27.648000046610832,0.5915731180910014,1000,prep_only,fixed_transition_aware,True
32768,bf16,64,validation_fixed_threshold,-1.7639244688110987,1,4,K6_fused_online_pipeline,cold_rotating,55.296000093221664,55.81401626765728,54.27199974656105,58.36800113320351,1.3556349044894755,1000,prep_plus_main,fixed_transition_aware,True
