context,promotion_rate,pattern,accepted_fraction,qk_reduction,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements,k2_median_us,speedup_vs_k2
16384,1.0,clustered,1.0,0.0,K4_fused_mask,cold_rotating,28.672000393271446,28.355424284934998,27.648000046610832,29.69600073993206,0.6596657267177811,1000,29.69600073993206,1.0357142973149833
32768,0.0,random,0.0,0.875,K4_fused_mask,cold_rotating,23.552000522613525,23.10003236308694,22.52800017595291,24.57600086927414,0.6912836419805165,1000,45.05600035190582,1.9130434507525238
32768,0.0,clustered,0.0,0.875,K4_fused_mask,cold_rotating,22.52800017595291,22.747488252818584,21.503999829292297,23.552000522613525,0.5827579884835733,1000,45.05600035190582,2.0
32768,0.05,random,0.05,0.83125,K4_fused_mask,cold_rotating,34.81600061058998,35.29430477321148,34.81600061058998,35.840000957250595,0.5670905642884132,1000,45.05600035190582,1.2941176344706617
32768,0.05,clustered,0.05,0.83125,K4_fused_mask,cold_rotating,35.840000957250595,35.95977699756622,34.81600061058998,36.86400130391121,0.5005858859426685,1000,45.05600035190582,1.2571428333846288
32768,0.1,random,0.1,0.7875,K4_fused_mask,cold_rotating,35.840000957250595,35.40988881140947,34.81600061058998,35.840000957250595,0.5309943704930131,1000,45.05600035190582,1.2571428333846288
32768,0.1,clustered,0.1,0.7875,K4_fused_mask,cold_rotating,35.840000957250595,35.89564897865057,34.81600061058998,36.86400130391121,0.5365733680819571,1000,45.05600035190582,1.2571428333846288
32768,0.2,random,0.2,0.7,K4_fused_mask,cold_rotating,35.840000957250595,35.48099283874035,34.81600061058998,35.840000957250595,0.5370580359903009,1000,45.05600035190582,1.2571428333846288
32768,0.2,clustered,0.2,0.7,K4_fused_mask,cold_rotating,35.840000957250595,35.60828888043761,34.81600061058998,35.840000957250595,0.5343665656488105,1000,45.05600035190582,1.2571428333846288
32768,0.4,random,0.4,0.5249999999999999,K4_fused_mask,cold_rotating,35.840000957250595,35.8006409406662,34.81600061058998,36.86400130391121,0.5649076969340567,1000,45.05600035190582,1.2571428333846288
32768,0.4,clustered,0.4,0.5249999999999999,K4_fused_mask,cold_rotating,35.840000957250595,35.89324897527695,34.81600061058998,36.86400130391121,0.5060486775753354,1000,45.05600035190582,1.2571428333846288
32768,0.6,random,0.6,0.35,K4_fused_mask,cold_rotating,35.840000957250595,36.07046503573656,35.840000957250595,36.86400130391121,0.5281836075562278,1000,45.05600035190582,1.2571428333846288
32768,0.6,clustered,0.6,0.35,K4_fused_mask,cold_rotating,35.840000957250595,36.0360010266304,34.81600061058998,36.86400130391121,0.523987226047681,1000,45.05600035190582,1.2571428333846288
32768,0.8,random,0.8,0.17499999999999993,K4_fused_mask,cold_rotating,35.840000957250595,36.22233708947897,35.840000957250595,36.86400130391121,0.5562328097703626,1000,45.05600035190582,1.2571428333846288
32768,0.8,clustered,0.8,0.17499999999999993,K4_fused_mask,cold_rotating,35.840000957250595,36.268065102398396,35.840000957250595,36.86400130391121,0.5597778531441105,1000,45.05600035190582,1.2571428333846288
32768,1.0,random,1.0,0.0,K4_fused_mask,cold_rotating,36.86400130391121,36.355073131620884,35.840000957250595,36.86400130391121,0.5451385511157798,1000,45.05600035190582,1.2222221885372344
32768,1.0,clustered,1.0,0.0,K4_fused_mask,cold_rotating,35.840000957250595,36.34518513083458,35.840000957250595,36.86400130391121,0.5637995312643547,1000,45.05600035190582,1.2571428333846288
