policy,layer,base_context_length,workload,qk_reduction,recall,top128_recall,top512_recall,top2048_recall,index_mass_ratio,newly_hot_miss_rate
dynamic_address_m-1,14,32768,long-text,0.6778876883274996,0.748654343011811,0.9313484251968503,0.8595031578083989,0.748654343011811,0.9114228707553268,0.3537938929174656
dynamic_address_m-1,17,8192,long-code,0.2630878974730988,0.93995422203084,0.9971087598425196,0.9852054625984252,0.93995422203084,0.9945947468602124,0.1216953574371943
dynamic_address_m-1,17,8192,long-text,0.1944106925880923,0.952411161007218,0.9946481299212598,0.9848056102362204,0.952411161007218,0.994933140739558,0.0921011589462827
dynamic_address_m-1,17,16384,long-code,0.5254196059352956,0.8862061187664042,0.975578248031496,0.9507105068897638,0.8862061187664042,0.9785498446106928,0.1922104290822873
dynamic_address_m-1,17,16384,long-text,0.504364694471387,0.8603387467191601,0.9760498687664042,0.9403451033464568,0.8603387467191601,0.9645543273008336,0.2182330434405042
dynamic_address_m-1,17,32768,long-code,0.7101789470475262,0.7961970451935696,0.93530593832021,0.8834840469160105,0.7961970451935696,0.9378258716113956,0.2868026800147433
dynamic_address_m-1,17,32768,long-text,0.69995430312262,0.7416876845472441,0.9016773293963256,0.8379060039370079,0.7416876845472441,0.9083653017091636,0.3439151368153572
dynamic_address_m-1,21,8192,long-code,0.132408421565048,0.97412109375,0.999528379265092,0.99609375,0.97412109375,0.9982901269454092,0.0583330796101859
dynamic_address_m-1,21,8192,long-text,0.1080689904715956,0.9762908054461942,0.9988927165354332,0.992915436351706,0.9762908054461942,0.9969709554114672,0.044784754939827
dynamic_address_m-1,21,16384,long-code,0.4128027260557381,0.9215661396817584,0.9865280511811024,0.9706262303149606,0.9215661396817584,0.9860206004742614,0.1375285670417312
dynamic_address_m-1,21,16384,long-text,0.4704452949395541,0.9117133673720472,0.984867125984252,0.9612758366141732,0.9117133673720472,0.977621405106071,0.1487238980293495
dynamic_address_m-1,21,32768,long-code,0.6155906614312239,0.8335268516240157,0.9604248687664042,0.9153133202099738,0.8335268516240157,0.953811388899738,0.2433099773213387
dynamic_address_m-1,21,32768,long-text,0.6370582326260996,0.8130523601541995,0.9667609908136484,0.906619094488189,0.8130523601541995,0.9472844705777516,0.2725621827777181
dynamic_address_m-1,25,8192,long-code,0.2925186432523454,0.9706275118930446,0.999528379265092,0.99633468667979,0.9706275118930446,0.9972706865318064,0.0770717870841888
dynamic_address_m-1,25,8192,long-text,0.1475191071211937,0.9760191108923884,0.999507874015748,0.9954222030839897,0.9760191108923884,0.9976406603265509,0.0596537873961782
dynamic_address_m-1,25,16384,long-code,0.6185266229029905,0.9352546751968503,0.9961655183727034,0.984631315616798,0.9352546751968503,0.9844334011187796,0.1296051408784685
dynamic_address_m-1,25,16384,long-text,0.6002801632255315,0.941522873605643,0.9827755905511812,0.9730612286745408,0.941522873605643,0.9822763170465224,0.1223102352818373
dynamic_address_m-1,25,32768,long-code,0.7176549454567616,0.8024050094324147,0.9547244094488188,0.8987707103018373,0.8024050094324147,0.9375990430208004,0.2882127469281643
dynamic_address_m-1,25,32768,long-text,0.6746488742649971,0.7889599737532809,0.9384022309711286,0.8760611466535433,0.7889599737532809,0.9314513839720892,0.2955890765927407
dynamic_address_m-3,2,8192,long-code,0.3252662149080348,0.9307576177001312,0.9982365485564304,0.9831241797900262,0.9307576177001312,0.9952926067608374,0.1352707658053378
dynamic_address_m-3,2,8192,long-text,0.2939328015470147,0.942639128116798,0.9995898950131232,0.9884555446194224,0.942639128116798,0.997083854128502,0.117482872222961
dynamic_address_m-3,2,16384,long-code,0.676056338028169,0.8451661437828084,0.9885785761154856,0.9507105068897638,0.8451661437828084,0.9789286295184282,0.2803018247995504
