policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w2_b64_r0.02,head,2,0.02,1152,0.3717212652662376,0.39085049002539096,0.5764765660923472,0.140625,0.9703369140625,0.9978976779513888,0.9961819118923612,0.9923587375217013,0.984787835015191,0.9703369140625,0.9940038912826991,0.06661865322290242,0.05171075107407216,,0.40397753749650345,0.46415343915343915,0.008697211816025206,3798827008.0,0.0,84213760.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w2_b64_r0.02,head,2,0.02,1152,0.43410652925503324,0.4267601356911935,0.5394082389164094,0.019965277777777776,0.9619683159722222,0.9965345594618056,0.9940999348958334,0.9889238145616319,0.9793828328450521,0.9619683159722222,0.9919505149413214,0.06371433937850868,0.04934264585045193,,0.3276807328975674,0.3985863095238095,0.01011516191365733,4436115456.0,0.0,97943552.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w2_b64_r0.05,head,2,0.05,1152,0.35206891353222697,0.3695297870658223,0.5747203956024896,0.140625,0.9748645358615451,0.9983181423611112,0.9969685872395834,0.9937795003255209,0.9873029920789931,0.9748645358615451,0.9950614824506567,0.13199648711943793,0.10851028256144457,,0.3905416001937059,0.4164425837756107,0.020020507822414442,3715760128.0,0.0,193855488.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w2_b64_r0.05,head,2,0.05,1152,0.3971558624431475,0.3915006489374919,0.5520127078001356,0.021701388888888888,0.9709476894802518,0.99749755859375,0.9957546657986112,0.9918874104817709,0.9845784505208334,0.9709476894802518,0.9940553564628392,0.12215519780740514,0.1022979262616663,,0.29626610311707946,0.31653839030715564,0.022567064978663065,4191551488.0,0.0,218513408.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w2_b64_r0.1,head,2,0.1,1152,0.32405435113441594,0.3390714362173253,0.5668159919953989,0.1423611111111111,0.9796646965874566,0.9988335503472222,0.9977043999565972,0.9952155219184028,0.9899512396918403,0.9796646965874566,0.9961190694139029,0.21936575603247693,0.19080970796918298,,0.377823637004143,0.37675313750212086,0.03808837314761233,3616604160.0,0.0,368803840.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w2_b64_r0.1,head,2,0.1,1152,0.3539787752937569,0.3481280682195869,0.5571932937398512,0.0234375,0.9788229200575087,0.9985622829861112,0.9973212348090278,0.9946560329861112,0.9892196655273438,0.9788229200575087,0.9958782158811803,0.2082560811346169,0.18406753914465998,,0.2725525951303543,0.26129795472808104,0.041648476972693464,3951083520.0,0.0,403275776.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w4_b64_r0.01,head,4,0.01,1152,0.362694020402222,0.38012774593811977,0.5821882764010248,0.140625,0.971154530843099,0.9983995225694444,0.996856689453125,0.9932725694444444,0.9857211642795138,0.971154530843099,0.9943353898856954,0.08043725002702411,0.0555003140046054,,0.6182133865090691,0.7876157407407407,0.004778390305146922,3791831040.0,0.0,46268416.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w4_b64_r0.01,head,4,0.01,1152,0.4266956957163288,0.4166120560412112,0.543274688521738,0.020833333333333332,0.9626244439019097,0.9974704318576388,0.9952663845486112,0.9902920193142362,0.9807044135199653,0.9626244439019097,0.9923967531038057,0.07832849049898614,0.05226394937957104,,0.5767132714669685,0.7659866898148149,0.005624422582970385,4461133824.0,0.0,54460416.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w4_b64_r0.02,head,4,0.02,1152,0.3529292619763024,0.3687563527465044,0.5862609911814416,0.140625,0.9747043185763888,0.9988335503472222,0.9975043402777778,0.99444580078125,0.9878082275390625,0.9747043185763888,0.9951820439193089,0.1360365968412062,0.09866054131842586,,0.6092249624567482,0.7484953703703704,0.008558462522462156,3730112512.0,0.0,82870272.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w4_b64_r0.02,head,4,0.02,1152,0.40485583464300967,0.3929404968172261,0.5604431042051354,0.0234375,0.9702512953016493,0.9984809027777778,0.9969075520833334,0.9930640326605903,0.9853329128689237,0.9702512953016493,0.9942677385355623,0.13060820017341757,0.09480237713423262,,0.5518613217671396,0.7023602843915344,0.009754752163304535,4278403072.0,0.0,94453760.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w4_b64_r0.05,head,4,0.05,1152,0.3292088466223516,0.3458926015046755,0.5902119000964611,0.1423611111111111,0.9817691379123263,0.99932861328125,0.9985860188802084,0.9966057671440972,0.9918797810872396,0.9817691379123263,0.9967736338015017,0.27424280772800136,0.2115360540811217,,0.5922487637541894,0.6528368931019054,0.01939952013049202,3597320192.0,0.0,187842560.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w4_b64_r0.05,head,4,0.05,1152,0.36260711617337305,0.3500008133306032,0.5820480468242162,0.029513888888888888,0.9814012315538194,0.9992811414930556,0.9985385470920138,0.9963972303602431,0.9916517469618056,0.9814012315538194,0.9967261803549062,0.269032150591371,0.2125765667903805,,0.5188832494392832,0.5685639853321379,0.021374159466931983,3962421248.0,0.0,206962688.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w4_b64_r0.1,head,4,0.1,1152,0.29833313143797735,0.31038897807758464,0.5918387476746668,0.14930555555555555,0.9881642659505209,0.9996880425347222,0.9993150499131944,0.9981469048394097,0.9952307807074653,0.9881642659505209,0.9980828140240227,0.4414082816563313,0.3678338791521215,,0.5752440212931789,0.5579456786125889,0.03639461652740975,3454255104.0,0.0,352403456.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w4_b64_r0.1,head,4,0.1,1152,0.3193907157974285,0.30839527948266393,0.594248088664907,0.052083333333333336,0.9890107048882378,0.9997694227430556,0.9993625217013888,0.9982554117838541,0.995558844672309,0.9890107048882378,0.9982245992669385,0.44164961774523526,0.3748919051020792,,0.49056536019429764,0.4451327089462894,0.03906638646077625,3699195904.0,0.0,378273792.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w4_b64_r0.01,head,4,0.01,1152,0.3660470784632348,0.38558037173977255,0.5763732708420946,0.140625,0.968865712483724,0.997802734375,0.9959004720052084,0.9919569227430556,0.9839986165364584,0.968865712483724,0.9936644442907121,0.04690541066562865,0.033359467867169125,,0.42367329959725186,0.5218460648148148,0.004832536370927624,3826991104.0,0.0,46792704.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w4_b64_r0.01,head,4,0.01,1152,0.4350193413053092,0.4257952463534675,0.533478156984236,0.020833333333333332,0.9573262532552084,0.9960462782118056,0.9931301540798612,0.9873843722873263,0.9766286214192709,0.9573262532552084,0.9908114097037273,0.04468208257028722,0.03184288302030699,,0.3598056441650174,0.4766348379629629,0.005793629038535079,4548788224.0,0.0,56098816.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w4_b64_r0.02,head,4,0.02,1152,0.35874151601221727,0.3776918156620267,0.5767410183972466,0.140625,0.9709146287706163,0.9980129665798612,0.9963412814670138,0.9926520453559028,0.9851726955837674,0.9709146287706163,0.9941616918996679,0.07505155750852552,0.056507919966652775,,0.41703457008538414,0.4918547453703704,0.008692135622358264,3791470592.0,0.0,84164608.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w4_b64_r0.02,head,4,0.02,1152,0.41898615278414614,0.4127106126599342,0.53937302606202,0.020833333333333332,0.962442609998915,0.9966362847222222,0.9941507975260416,0.9891815185546875,0.9797159830729166,0.962442609998915,0.992074859975452,0.06927229948321499,0.05279573668229608,,0.3419225891956638,0.4225270750661376,0.010111777784546036,4427923456.0,0.0,97910784.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w4_b64_r0.05,head,4,0.05,1152,0.3392659226981572,0.355463410502196,0.576224682013186,0.140625,0.9753854539659288,0.9984605577256944,0.9970601399739584,0.9939473470052084,0.9876132541232638,0.9753854539659288,0.9951888100751667,0.14541976307850785,0.11659669745312062,,0.40373651064168503,0.43510954404221863,0.020006971305969266,3707371520.0,0.0,193724416.0
