policy_role,verifier,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,output_norm_ratio,preprojection_cosine,preprojection_relative_l2,per_head_relative_l2_mean,per_head_relative_l2_worst,attention_js,attention_kl_eps1e8,net_qk_reduction,physical_key_byte_reduction,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Balanced,head_dynamic_abs_w16_b64_r0.1,2,8,code_heldout_3,long-code,32768,32771,0.9999998807907104,0.000530058634467423,0.0009765625,0.9999921321868896,1.0000001192092896,6.657974881818518e-05,4.8392834287369624e-05,0.0004551573365461081,1.8045709566649748e-06,3.535727228154428e-05,0.3578773915962283,-0.0567743550499513,1.0,1.0,0.99609375,1.0
Balanced,head_dynamic_abs_w8_b64_r0.05,2,8,code_heldout_3,long-code,32768,32771,0.9999979734420776,0.0020758984610438347,0.001953125,0.999975323677063,0.9999996423721313,0.0009227350819855928,0.0007725558243691921,0.0026852486189454794,5.855814379174262e-05,0.001193988835439086,0.4543041103414604,-0.0294839067068712,1.0,1.0,0.98876953125,0.5
Balanced,head_dynamic_abs_w8_b64_r0.1,2,8,code_heldout_3,long-code,32768,32771,0.9999977350234985,0.002202893840149045,0.001953125,1.0001131296157837,0.9999994039535522,0.001089466386474669,0.0005514258518815041,0.0026766674127429724,2.9311326215974987e-05,0.0007348383078351617,0.4269628635073693,-0.0567743550499513,1.0,1.0,0.994140625,0.75
Aggressive,dim_had_even_w16_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,0.9999953508377075,0.003091223770752549,0.00244140625,1.0001411437988281,0.9999983906745911,0.001808835077099502,0.0012676555197685957,0.010425684042274952,0.00016609269368927926,0.003961321897804737,0.469669229830343,0.4685667755543372,1.0,0.998046875,0.99267578125,0.0
Aggressive,dim_had_even_w16_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,0.9999952912330627,0.0030818425584584475,0.00244140625,1.0001397132873535,0.9999983906745911,0.0018071841914206743,0.0012559366878122091,0.010442400351166725,0.0001562873221701011,0.0037321308627724648,0.4403759306725253,0.4393270094724658,1.0,0.998046875,0.9931640625,0.25
Aggressive,dim_had_random_w32_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,0.9999977350234985,0.002170307096093893,0.001953125,0.9999479055404663,0.9999995827674866,0.0009739643428474665,0.0006761107943020761,0.0033449954353272915,5.945893644820899e-05,0.0010922657093033195,0.3925302087147565,0.391568724872076,1.0,1.0,0.9951171875,0.0
Aggressive,dim_had_random_w32_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,0.9999998807907104,0.0006761411787010729,0.001953125,0.9999789595603943,1.0,7.406332588288933e-05,4.6248213038779795e-05,0.0004186014411970973,1.7570922636878095e-06,1.710364995233249e-05,0.3593311363358965,0.3584303233126218,1.0,1.0,0.99658203125,0.25
Aggressive,head_dynamic_abs_w16_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1872005416080356e-05,0.3852068839253021,-0.0294839067068712,1.0,1.0,1.0,0.5
Aggressive,head_dynamic_abs_w16_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1872005416080356e-05,0.3510313682411815,-0.0548250373111598,1.0,1.0,1.0,0.25
Aggressive,head_dynamic_abs_w8_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,1.0,0.0001923867966979742,0.0009765625,1.0000083446502686,1.0,1.0834406793946982e-06,4.599135934313381e-07,7.358617494901409e-06,5.599898500463496e-08,1.2088502444385085e-05,0.4577077993409008,-0.0294839067068712,1.0,1.0,0.9990234375,0.5
